Date_Full,Year,Month,Day_Name,Time_Arrival,Order_ID,Target_Location,QR_Scan_Status,Client_Gesture_Status,Handover_Time_Sec,Trip_Duration_Min,Distance_Traveled_M,Order_Final_Status
12-16-25,2025.0,December,Tuesday,15:00:00,d4d2db40,R_414,Verified,Thumb Up,60,2.5,8.6,Delivered
12-16-25,2025.0,December,Tuesday,15:00:00,1cdecd2e,R_414,Verified,Thumb Up,30,1.5,7.6,Delivered
12-24-25,2025.0,December,Wednesday,21:00:00,09ac330d,Lobby,Verified,Thumb Up,82,2.5,5.0,Delivered
12-25-25,2025.0,December,Thursday,07:39:00,ef46cbdb,Lab,Verified,Thumb Up,40,1.5,6.2,Delivered
12-28-25,2025.0,December,Sunday,09:14:00,454ef3b2,Lobby,Verified,Thumb Up,76,2.7,8.3,Delivered
12-28-25,2025.0,December,Sunday,18:51:00,de343c2d,Lobby,Verified,Thumb Up,61,1.1,6.0,Delivered
12-28-25,2025.0,December,Sunday,19:00:00,1e354476,Lobby,Verified,Thumb Up,63,2.6,6.7,Delivered
12-28-25,2025.0,December,Sunday,19:17:00,3f094fc3,Lobby,Verified,Thumb Up,45,2.8,7.1,Delivered
12-28-25,2025.0,December,Sunday,19:19:00,81fb4d7f,Lab,Verified,Thumb Up,33,2.3,8.9,Delivered
12-28-25,2025.0,December,Sunday,19:24:00,73d72016,Lab,Verified,Thumb Up,70,2.8,5.4,Delivered
12-28-25,2025.0,December,Sunday,19:53:00,9bbb3acc,Lobby,Verified,Thumb Up,85,2.8,9.8,Delivered
12-28-25,2025.0,December,Sunday,19:54:00,3e7fd8b1,Lab,Verified,Thumb Up,57,2.4,8.6,Delivered
12-28-25,2025.0,December,Sunday,20:00:00,4791.0b15,Lab,Verified,Thumb Up,28,1.7,7.9,Delivered
12-28-25,2025.0,December,Sunday,20:11:00,7d75a4ba,Lab,Verified,Thumb Up,33,1.8,5.5,Delivered
12-28-25,2025.0,December,Sunday,20:16:00,4b3cc93b,Lab,Verified,Thumb Up,53,2.2,7.0,Delivered
12-28-25,2025.0,December,Sunday,20:27:00,b618f066,Lab,Verified,Thumb Up,45,2.8,7.6,Delivered
01-01-26,2026.0,January,Thursday,12:39:00,ff46fd1a,Lobby,Verified,Thumb Up,19,2.0,6.8,Delivered
01-03-26,2026.0,January,Saturday,10:21:00,3b143195,A,Verified,Thumb Up,36,1.7,6.8,Delivered
01-03-26,2026.0,January,Saturday,10:00:00,90eea5c9,A,Verified,Thumb Up,21,1.1,6.9,Delivered
01-03-26,2026.0,January,Saturday,11:00:00,ad1c74c5,A,Verified,Thumb Up,70,2.3,8.3,Delivered
01-03-26,2026.0,January,Saturday,11:00:00,a0005586,A,Verified,Thumb Up,73,1.9,7.7,Delivered
01-03-26,2026.0,January,Saturday,11:23:00,4f9180fe,A,Verified,Thumb Up,84,2.0,7.4,Delivered
01-03-26,2026.0,January,Saturday,11:32:00,800fab4d,A,Verified,Thumb Up,83,2.1,5.4,Delivered
01-03-26,2026.0,January,Saturday,12:36:00,ba30255a,A,Verified,Thumb Up,31,2.9,5.5,Delivered
01-03-26,2026.0,January,Saturday,12:53:00,78e76701,A,Verified,Thumb Up,45,1.7,6.2,Delivered
01-03-26,2026.0,January,Saturday,13:00:00,773003.0ce,A,Verified,Thumb Up,31,2.6,9.2,Delivered
01-03-26,2026.0,January,Saturday,13:11:00,e4829eec,A,Verified,Thumb Up,19,1.8,7.4,Delivered
01-03-26,2026.0,January,Saturday,13:19:00,2efd6296,A,Verified,Thumb Up,75,1.5,8.5,Delivered
01-03-26,2026.0,January,Saturday,13:34:00,ca6fbe8f,A,Verified,Thumb Up,85,1.4,7.7,Delivered
01-03-26,2026.0,January,Saturday,13:43:00,503420.0ee,A,Verified,Thumb Up,82,2.9,5.9,Delivered
01-03-26,2026.0,January,Saturday,13:52:00,530000000000000009201282075158642688.0ab,A,Verified,Thumb Up,67,1.2,6.4,Delivered
01-03-26,2026.0,January,Saturday,13:58:00,b3f232da,A,Verified,Thumb Up,27,2.6,8.6,Delivered
01-03-26,2026.0,January,Saturday,14:00:00,841351.0ac,A,Verified,Thumb Up,20,1.6,8.9,Delivered
01-03-26,2026.0,January,Saturday,14:11:00,b024e881,A,Verified,Thumb Up,63,2.2,7.9,Delivered
01-03-26,2026.0,January,Saturday,14:28:00,abab712b,A,Verified,Thumb Up,18,1.1,7.2,Delivered
01-03-26,2026.0,January,Saturday,19:55:00,ddb951f2,A,Verified,Thumb Up,34,2.2,7.5,Delivered
01-03-26,2026.0,January,Saturday,20:48:00,cfada5d3,A,Verified,Thumb Up,57,1.3,10.0,Delivered
01-03-26,2026.0,January,Saturday,21:00:00,968f0021,A,Verified,Thumb Up,30,2.3,6.7,Delivered
01-03-26,2026.0,January,Saturday,21:11:00,ed05903d,A,Verified,Thumb Up,43,1.2,9.5,Delivered
01-03-26,2026.0,January,Saturday,21:16:00,d771bae7,A,Verified,Thumb Up,17,1.1,8.6,Delivered
01-03-26,2026.0,January,Saturday,21:31:00,5ca794c5,A,Verified,Thumb Up,28,2.6,7.1,Delivered
01-03-26,2026.0,January,Saturday,21:42:00,18de3bfb,A,Verified,Thumb Up,69,2.7,7.4,Delivered
01-03-26,2026.0,January,Saturday,21:47:00,f28ed8e3,A,Verified,Thumb Up,49,1.7,7.7,Delivered
01-03-26,2026.0,January,Saturday,21:52:00,8ce7de8e,A,Verified,Thumb Up,81,3.0,8.4,Delivered
01-03-26,2026.0,January,Saturday,21:58:00,1519.0d3b2,A,Verified,Thumb Up,23,2.8,8.7,Delivered
01-03-26,2026.0,January,Saturday,22:00:00,4d22966e,A,Verified,Thumb Up,20,1.8,7.9,Delivered
01-03-26,2026.0,January,Saturday,22:15:00,4d002e36,A,Verified,Thumb Up,45,2.1,5.2,Delivered
01-03-26,2026.0,January,Saturday,22:17:00,058b5891,A,Verified,Thumb Up,65,1.1,9.7,Delivered
01-03-26,2026.0,January,Saturday,22:21:00,edb1f41e,A,Verified,Thumb Up,34,1.6,8.0,Delivered
01-05-26,2026.0,January,Monday,18:32:00,bae2211a,A,Verified,Thumb Up,78,1.0,9.7,Delivered
01-05-26,2026.0,January,Monday,19:00:00,45b0eb35,A,Verified,Thumb Up,86,2.0,8.3,Delivered
01-05-26,2026.0,January,Monday,19:15:00,d6558843,A,Verified,Thumb Up,31,1.1,5.6,Delivered
01-05-26,2026.0,January,Monday,19:00:00,e60b2fd7,A,Verified,Thumb Up,36,2.7,6.1,Delivered
01-05-26,2026.0,January,Monday,19:25:00,df3bbaf7,A,Verified,Thumb Up,33,1.4,6.0,Delivered
2026-01-06,2026.0,January,Tuesday,17:10:57,TEST_VERIFY_999,TEST_LOC,Pending,Pending,0,0.0,0.0,In Progress
,,,,,UNKNOWN,,Failed,None,45,2.5,120.5,Failed
2026-01-10,2026.0,January,Saturday,15:34:17,6F07A57E,Lab,Pending,Pending,0,0.0,0.0,In Progress
2026-01-10,2026.0,January,Saturday,15:34:55,TEST_MANUAL,Manual Test,Pending,Pending,0,0.0,0.0,In Progress
2026-01-10,2026,January,Saturday,15:50:46,4D72A96A,Lobby,Pending,Pending,0,0.0,0.0,In Progress
